Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6
49;0.42174805486547906;76;421.43370565074383;;1.0;0.9123747579707272;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.1159345995955004;0.9932568492674144;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249
98;0.8434961097309581;27639;26995.989620116947;;1.0;0.6648553979642865;0.7469720876965552;-0.1159345995955004;0.9932568492674144;-0.8190148866680798;0.5737722679043249;-0.973118337233262;-0.2303056702306119;-0.4749510720670502;-0.8800122039735356;0.3415707691678551;-0.9398560579418956
147;1.2652441645964374;3337;4238.273124297462;;1.0;0.3008198076356674;0.9536809966304456;-0.8190148866680801;0.5737722679043246;-0.7935716089521472;-0.6084768701151264;0.341570769167856;-0.9398560579418952;0.99907411510223;0.0430222330045306;0.259511797069799;0.9657399376548552
196;1.6869922194619162;1389;272.4428048917762;;1.0;-0.1159345995955004;0.9932568492674144;-0.973118337233262;-0.2303056702306119;0.3415707691678551;-0.9398560579418956;0.8939185965192572;0.4482293417404102;-0.5488429582847194;0.8359254794186368;-0.7666588193001597;-0.642054713236563
245;2.1087402743273955;9484;10767.661186684138;;1.0;-0.5123714121284236;0.858763958275803;-0.4749510720670502;-0.8800122039735356;0.99907411510223;0.0430222330045306;-0.5488429582847194;0.8359254794186368;-0.4366512319560636;-0.8996308696522435;0.9962981749346076;0.0859647987374468
294;2.530488329192875;101973;100575.08572254733;;1.0;-0.8190148866680801;0.5737722679043246;0.341570769167856;-0.9398560579418952;0.259511797069799;0.9657399376548552;-0.7666588193001584;-0.6420547132365644;0.9962981749346076;0.0859647987374468;-0.8653072543632069;0.5012418134457742
343;2.9522363840583536;115784;117239.92492214308;;1.0;-0.9821256058680006;0.1882267098432442;0.9291414114031744;-0.3697245428906732;-0.8429415373547826;0.5380051715383001;0.7266075247685656;-0.687052767223667;-0.5842981736283688;0.8115390590073608;0.4211008707960887;-0.9070138128026364
392;3.3739844389238325;86598;85142.07507785683;;1.0;-0.973118337233262;-0.2303056702306119;0.8939185965192572;0.4482293417404102;-0.7666588193001597;-0.642054713236563;0.5981809144059171;0.801361088174676;-0.3975428142825554;-0.917583626059394;0.1755314904214296;0.984473816752092
441;3.7957324937893118;154493;155890.91427745263;;1.0;-0.7935716089521474;-0.6084768701151261;0.2595117970697999;0.9657399376548548;0.381689220266658;-0.9242907221930936;-0.865307254363206;0.5012418134457758;0.99167731989929;0.1287481774525813;-0.7086266782644612;-0.7055836101071763
490;4.217480548654791;67304;66020.33881331586;;1.0;-0.4749510720670502;-0.8800122039735356;-0.5488429582847194;0.8359254794186368;0.9962981749346076;0.0859647987374468;-0.3975428142825554;-0.917583626059394;-0.6186714032625039;0.785649855078714;0.9852201067560604;0.1712931441814783
539;4.63922860352027;5194;6310.557195108217;;1.0;-0.0730951298980772;-0.9973249731081556;-0.9893142039703664;0.145799196919874;0.21772323039653;0.9760105506323686;0.9574851883550396;-0.2884824328806077;-0.3576982388331248;-0.9338372288229254;-0.9051931898913992;0.4250003399695506
588;5.06097665838575;44324;43422.72687570256;;1.0;0.341570769167856;-0.9398560579418952;-0.7666588193001584;-0.6420547132365644;-0.8653072543632069;0.5012418134457742;0.1755314904214261;0.9844738167520926;0.9852201067560604;0.1712931441814783;0.4975132889071832;-0.8674563547295954
637;5.482724713251228;21852;22495.01037988307;;1.0;0.6963762255968721;-0.7176769136759621;-0.0301203048469086;-0.9995462806873572;-0.7383263540031081;-0.6744436188329438;-0.9981855344718584;0.0602132773657937;-0.6518989958787131;0.758305808478562;0.0902516100310457;0.9959189961471786
686;5.904472768116707;63485;63139.566294349264;;1.0;0.9291414114031744;-0.3697245428906732;0.7266075247685656;-0.687052767223667;0.4211008707960887;-0.9070138128026364;0.0559169901006031;-0.9984354211555644;-0.3171912885891051;-0.948361580012172;-0.6453481132295515;-0.7638886127905415
