Day;New_cases;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6
49;76;1.0;0.9123747579707273;0.4093559588156214;0.6648553979642865;0.7469720876965552;0.3008198076356677;0.9536809966304456;-0.11593459959550041;0.9932568492674143;-0.5123714121284236;0.858763958275803;-0.8190148866680798;0.5737722679043249
98;27639;1.0;0.6648553979642865;0.7469720876965552;-0.11593459959550041;0.9932568492674143;-0.8190148866680798;0.5737722679043249;-0.973118337233262;-0.23030567023061196;-0.4749510720670502;-0.8800122039735356;0.34157076916785517;-0.9398560579418956
147;3337;1.0;0.30081980763566746;0.9536809966304456;-0.8190148866680801;0.5737722679043246;-0.7935716089521472;-0.6084768701151264;0.341570769167856;-0.9398560579418953;0.99907411510223;0.04302223300453067;0.25951179706979904;0.9657399376548551
196;1389;1.0;-0.11593459959550041;0.9932568492674143;-0.973118337233262;-0.23030567023061196;0.34157076916785517;-0.9398560579418956;0.8939185965192572;0.4482293417404102;-0.5488429582847194;0.8359254794186368;-0.7666588193001597;-0.642054713236563
245;9484;1.0;-0.5123714121284236;0.858763958275803;-0.4749510720670502;-0.8800122039735356;0.99907411510223;0.04302223300453067;-0.5488429582847194;0.8359254794186368;-0.4366512319560636;-0.8996308696522435;0.9962981749346077;0.08596479873744685
294;101973;1.0;-0.8190148866680801;0.5737722679043246;0.341570769167856;-0.9398560579418953;0.25951179706979904;0.9657399376548551;-0.7666588193001584;-0.6420547132365644;0.9962981749346077;0.08596479873744685;-0.8653072543632069;0.5012418134457742
343;115784;1.0;-0.9821256058680006;0.18822670984324424;0.9291414114031743;-0.3697245428906732;-0.8429415373547826;0.5380051715383001;0.7266075247685656;-0.687052767223667;-0.5842981736283688;0.8115390590073608;0.4211008707960887;-0.9070138128026363
392;86598;1.0;-0.973118337233262;-0.23030567023061196;0.8939185965192572;0.4482293417404102;-0.7666588193001597;-0.642054713236563;0.5981809144059171;0.801361088174676;-0.3975428142825554;-0.9175836260593939;0.1755314904214296;0.984473816752092
441;154493;1.0;-0.7935716089521474;-0.6084768701151261;0.2595117970697999;0.9657399376548549;0.381689220266658;-0.9242907221930936;-0.865307254363206;0.5012418134457758;0.99167731989929;0.12874817745258135;-0.7086266782644612;-0.7055836101071763
490;67304;1.0;-0.4749510720670502;-0.8800122039735356;-0.5488429582847194;0.8359254794186368;0.9962981749346077;0.08596479873744685;-0.3975428142825554;-0.9175836260593939;-0.6186714032625039;0.785649855078714;0.9852201067560605;0.17129314418147834
539;5194;1.0;-0.07309512989807723;-0.9973249731081556;-0.9893142039703664;0.14579919691987403;0.21772323039653;0.9760105506323686;0.9574851883550396;-0.28848243288060776;-0.3576982388331248;-0.9338372288229254;-0.9051931898913991;0.4250003399695506
588;44324;1.0;0.341570769167856;-0.9398560579418953;-0.7666588193001584;-0.6420547132365644;-0.8653072543632069;0.5012418134457742;0.1755314904214261;0.9844738167520926;0.9852201067560605;0.17129314418147834;0.49751328890718327;-0.8674563547295954
637;21852;1.0;0.6963762255968721;-0.7176769136759621;-0.030120304846908606;-0.9995462806873573;-0.7383263540031081;-0.6744436188329438;-0.9981855344718585;0.06021327736579375;-0.6518989958787131;0.758305808478562;0.0902516100310457;0.9959189961471786
686;63485;1.0;0.9291414114031743;-0.3697245428906732;0.7266075247685656;-0.687052767223667;0.4211008707960887;-0.9070138128026363;0.05591699010060317;-0.9984354211555643;-0.31719128858910517;-0.9483615800121719;-0.6453481132295515;-0.7638886127905415
